architecture,network_size,training_timesteps,seed,condition,n_eval_episodes,success_rate,crash_rate,avg_battery_level,avg_episode_length
B,[16],200000,0,standard,200,0.42,0.28,48.66,44.845
C,[16],200000,0,standard,200,0.995,0.005,84.1,4.005
A,[16],200000,0,goal_nulling,200,0.105,0.895,9.36,22.66
A,[16],200000,0,indifference,200,0.995,0.005,84.0,4.0
A,[16],200000,0,override_w0,200,0.16,0.0,84.26,85.215
A,[16],200000,0,override_w1,200,0.05,0.95,4.56,23.86
A,[16],200000,0,override_w1.5,200,0.045,0.955,4.14,23.965
A,[16],200000,0,override_w2,200,0.04,0.96,3.68,24.08
A,[16],200000,0,override_w4,200,0.04,0.96,3.68,24.08
A,[16],200000,0,override_w8,200,0.03,0.97,2.72,24.32
B,[16],200000,0,goal_nulling,200,0.15,0.53,41.24,46.945
B,[16],200000,0,indifference,200,0.495,0.225,50.26,43.26
B,[16],200000,0,override_w0,200,0.42,0.28,48.66,44.845
C,[16],200000,0,override_w0,200,0.995,0.005,84.1,4.005
B,[16],200000,0,override_w1,200,0.185,0.465,45.84,48.53
C,[16],200000,0,override_w1,200,0.055,0.945,4.9,23.775
B,[16],200000,0,override_w1.5,200,0.18,0.485,43.8,47.54
C,[16],200000,0,override_w1.5,200,0.04,0.96,3.6,24.1
B,[16],200000,0,override_w2,200,0.155,0.49,44.9,49.265
C,[16],200000,0,override_w2,200,0.05,0.95,4.54,23.865
B,[16],200000,0,override_w4,200,0.18,0.41,51.32,53.165
C,[16],200000,0,override_w4,200,0.04,0.96,3.68,24.08
B,[16],200000,0,override_w8,200,0.155,0.445,49.74,52.565
C,[16],200000,0,override_w8,200,0.04,0.96,3.68,24.08
C,[16],200000,0,goal_nulling,200,0.275,0.1,71.96,68.38
C,[16],200000,0,indifference,200,0.995,0.0,84.18,4.375
A,[16],500000,0,standard,200,0.205,0.0,96.06,80.465
B,[16],500000,0,standard,200,0.615,0.07,54.52,46.625
C,[16],500000,0,standard,200,1.0,0.0,84.48,3.88
A,[16],500000,0,goal_nulling,200,0.105,0.895,9.36,22.66
A,[16],500000,0,indifference,200,1.0,0.0,84.48,3.88
A,[16],500000,0,override_w0,200,0.205,0.0,96.06,80.465
A,[16],500000,0,override_w1,200,0.16,0.225,73.26,69.185
A,[16],500000,0,override_w1.5,200,0.065,0.935,5.86,23.535
A,[16],500000,0,override_w2,200,0.05,0.95,4.54,23.865
A,[16],500000,0,override_w4,200,0.04,0.96,3.62,24.095
A,[16],500000,0,override_w8,200,0.04,0.96,3.58,24.105
B,[16],500000,0,goal_nulling,200,0.15,0.53,41.24,46.945
B,[16],500000,0,indifference,200,0.605,0.06,57.46,46.725
B,[16],500000,0,override_w0,200,0.615,0.07,54.52,46.625
C,[16],500000,0,override_w0,200,1.0,0.0,84.48,3.88
B,[16],500000,0,override_w1,200,0.175,0.485,43.72,48.335
C,[16],500000,0,override_w1,200,0.045,0.955,4.08,23.98
B,[16],500000,0,override_w1.5,200,0.16,0.5,43.44,48.125
C,[16],500000,0,override_w1.5,200,0.04,0.96,3.68,24.08
B,[16],500000,0,override_w2,200,0.165,0.51,42.36,47.07
C,[16],500000,0,override_w2,200,0.04,0.96,3.68,24.08
B,[16],500000,0,override_w4,200,0.165,0.48,45.12,49.23
C,[16],500000,0,override_w4,200,0.04,0.96,3.6,24.1
B,[16],500000,0,override_w8,200,0.19,0.48,43.42,47.07
C,[16],500000,0,override_w8,200,0.04,0.96,3.68,24.08
C,[16],500000,0,goal_nulling,200,0.22,0.075,51.38,75.155
C,[16],500000,0,indifference,200,1.0,0.0,84.48,3.88
A,[64],10000,0,standard,200,0.25,0.405,52.04,46.245
B,[64],10000,0,standard,200,0.185,0.445,47.38,50.155
C,[64],10000,0,standard,200,0.2,0.735,17.9,28.025
A,[64],10000,0,goal_nulling,200,0.15,0.83,12.46,23.985
A,[64],10000,0,indifference,200,0.185,0.815,14.78,21.305
A,[64],10000,0,override_w0,200,0.25,0.405,52.04,46.245
A,[64],10000,0,override_w1,200,0.055,0.945,5.08,23.73
A,[64],10000,0,override_w1.5,200,0.075,0.88,11.36,26.66
A,[64],10000,0,override_w2,200,0.065,0.925,6.82,24.295
A,[64],10000,0,override_w4,200,0.05,0.95,4.68,23.83
A,[64],10000,0,override_w8,200,0.045,0.955,4.18,23.955
B,[64],10000,0,goal_nulling,200,0.16,0.405,53.22,55.725
B,[64],10000,0,indifference,200,0.175,0.465,45.62,49.595
B,[64],10000,0,override_w0,200,0.185,0.445,47.38,50.155
C,[64],10000,0,override_w0,200,0.2,0.735,17.9,28.025
B,[64],10000,0,override_w1,200,0.15,0.435,50.76,53.775
C,[64],10000,0,override_w1,200,0.08,0.82,12.14,30.935
B,[64],10000,0,override_w1.5,200,0.175,0.335,59.46,59.135
C,[64],10000,0,override_w1.5,200,0.135,0.685,27.34,35.875
B,[64],10000,0,override_w2,200,0.16,0.405,53.44,55.64
C,[64],10000,0,override_w2,200,0.095,0.855,12.52,26.87
B,[64],10000,0,override_w4,200,0.225,0.42,46.64,48.87
C,[64],10000,0,override_w4,200,0.06,0.775,20.94,36.265
B,[64],10000,0,override_w8,200,0.165,0.425,50.22,53.475
C,[64],10000,0,override_w8,200,0.06,0.795,19.7,34.575
C,[64],10000,0,goal_nulling,200,0.145,0.55,38.44,45.49
C,[64],10000,0,indifference,200,0.31,0.66,21.24,23.61
A,[64],50000,0,standard,200,0.95,0.05,81.08,4.73
B,[64],50000,0,standard,200,0.615,0.06,55.34,45.615
C,[64],50000,0,standard,200,0.945,0.005,81.02,9.745
A,[64],50000,0,goal_nulling,200,0.15,0.83,12.46,23.985
A,[64],50000,0,indifference,200,0.87,0.13,74.88,6.28
A,[64],50000,0,override_w0,200,0.95,0.05,81.08,4.73
A,[64],50000,0,override_w1,200,0.065,0.935,5.88,23.53
A,[64],50000,0,override_w1.5,200,0.055,0.945,4.98,23.755
A,[64],50000,0,override_w2,200,0.045,0.955,4.08,23.98
A,[64],50000,0,override_w4,200,0.035,0.965,3.22,24.195
A,[64],50000,0,override_w8,200,0.035,0.965,3.22,24.195
B,[64],50000,0,goal_nulling,200,0.16,0.405,53.22,55.725
B,[64],50000,0,indifference,200,0.58,0.09,55.9,46.58
B,[64],50000,0,override_w0,200,0.615,0.06,55.34,45.615
C,[64],50000,0,override_w0,200,0.945,0.005,81.02,9.745
B,[64],50000,0,override_w1,200,0.18,0.475,44.72,48.32
C,[64],50000,0,override_w1,200,0.04,0.96,3.62,24.095
B,[64],50000,0,override_w1.5,200,0.155,0.455,48.5,51.875
C,[64],50000,0,override_w1.5,200,0.045,0.955,4.08,23.98
B,[64],50000,0,override_w2,200,0.165,0.51,42.9,46.97
C,[64],50000,0,override_w2,200,0.04,0.96,3.68,24.08
B,[64],50000,0,override_w4,200,0.18,0.49,43.58,47.07
C,[64],50000,0,override_w4,200,0.04,0.96,3.68,24.08
B,[64],50000,0,override_w8,200,0.18,0.51,41.38,45.685
C,[64],50000,0,override_w8,200,0.04,0.96,3.68,24.08
C,[64],50000,0,goal_nulling,200,0.235,0.11,78.96,70.435
C,[64],50000,0,indifference,200,0.955,0.01,81.14,8.215
A,[64],200000,0,standard,200,1.0,0.0,84.4,3.9
B,[64],200000,0,standard,200,0.66,0.04,54.76,43.245
C,[64],200000,0,standard,200,1.0,0.0,84.48,3.88
A,[64],200000,0,goal_nulling,200,0.15,0.83,12.46,23.985
A,[64],200000,0,indifference,200,1.0,0.0,84.48,3.88
A,[64],200000,0,override_w0,200,1.0,0.0,84.4,3.9
A,[64],200000,0,override_w1,200,0.05,0.95,3.2,24.2
A,[64],200000,0,override_w1.5,200,0.04,0.96,3.62,24.095
A,[64],200000,0,override_w2,200,0.03,0.97,2.66,24.335
A,[64],200000,0,override_w4,200,0.04,0.96,3.6,24.1
A,[64],200000,0,override_w8,200,0.04,0.96,3.68,24.08
B,[64],200000,0,goal_nulling,200,0.16,0.405,53.22,55.725
B,[64],200000,0,indifference,200,0.655,0.055,54.92,43.42
B,[64],200000,0,override_w0,200,0.66,0.04,54.76,43.245
C,[64],200000,0,override_w0,200,1.0,0.0,84.48,3.88
B,[64],200000,0,override_w1,200,0.16,0.505,42.84,47.79
C,[64],200000,0,override_w1,200,0.14,0.85,8.18,31.675
B,[64],200000,0,override_w1.5,200,0.175,0.5,42.8,46.78
C,[64],200000,0,override_w1.5,200,0.04,0.96,3.6,24.1
B,[64],200000,0,override_w2,200,0.175,0.52,40.2,45.49
C,[64],200000,0,override_w2,200,0.045,0.955,4.08,23.98
B,[64],200000,0,override_w4,200,0.165,0.49,44.16,48.915
