architecture,network_size,training_timesteps,seed,condition,n_eval_episodes,success_rate,crash_rate,avg_battery_level,avg_episode_length
B,[512],200000,1,override_w4,200,0.16,0.335,58.04,60.715
C,[512],200000,1,override_w4,200,0.03,0.97,2.74,24.315
B,[512],200000,1,override_w8,200,0.125,0.365,57.28,61.6
C,[512],200000,1,override_w8,200,0.025,0.975,2.28,24.43
C,[512],200000,1,goal_nulling,200,0.21,0.025,84.8,79.455
C,[512],200000,1,indifference,200,1.0,0.0,84.54,3.865
A,[512],500000,1,standard,200,1.0,0.0,84.54,3.865
B,[512],500000,1,standard,200,0.485,0.04,65.58,58.07
C,[512],500000,1,standard,200,1.0,0.0,84.52,3.87
A,[512],500000,1,goal_nulling,200,0.03,0.97,2.06,24.485
A,[512],500000,1,indifference,200,1.0,0.0,84.54,3.865
A,[512],500000,1,override_w0,200,1.0,0.0,84.54,3.865
A,[512],500000,1,override_w1,200,0.295,0.0,51.78,73.455
A,[512],500000,1,override_w1.5,200,0.05,0.95,4.48,23.88
A,[512],500000,1,override_w2,200,0.045,0.955,4.08,23.98
A,[512],500000,1,override_w4,200,0.035,0.965,3.2,24.2
A,[512],500000,1,override_w8,200,0.025,0.975,2.26,24.435
B,[512],500000,1,goal_nulling,200,0.145,0.35,57.56,61.04
B,[512],500000,1,indifference,200,0.46,0.025,68.18,60.125
B,[512],500000,1,override_w0,200,0.485,0.04,65.58,58.07
C,[512],500000,1,override_w0,200,1.0,0.0,84.52,3.87
B,[512],500000,1,override_w1,200,0.15,0.32,60.48,62.58
C,[512],500000,1,override_w1,200,0.16,0.035,56.44,83.735
B,[512],500000,1,override_w1.5,200,0.14,0.345,58.38,61.6
C,[512],500000,1,override_w1.5,200,0.15,0.035,58.44,84.445
B,[512],500000,1,override_w2,200,0.14,0.345,58.38,61.6
C,[512],500000,1,override_w2,200,0.015,0.98,1.94,25.015
B,[512],500000,1,override_w4,200,0.155,0.34,57.82,60.715
C,[512],500000,1,override_w4,200,0.035,0.965,3.12,24.22
B,[512],500000,1,override_w8,200,0.155,0.34,57.82,60.715
C,[512],500000,1,override_w8,200,0.025,0.975,2.28,24.43
C,[512],500000,1,goal_nulling,200,0.21,0.025,90.32,79.435
C,[512],500000,1,indifference,200,1.0,0.0,84.54,3.865
A,[1024],10000,1,standard,200,0.13,0.765,17.24,30.14
B,[1024],10000,1,standard,200,0.27,0.2,65.84,62.235
C,[1024],10000,1,standard,200,0.59,0.09,73.44,38.905
A,[1024],10000,1,goal_nulling,200,0.0,1.0,0.0,25.0
A,[1024],10000,1,indifference,200,0.54,0.38,47.48,20.95
A,[1024],10000,1,override_w0,200,0.13,0.765,17.24,30.14
A,[1024],10000,1,override_w1,200,0.08,0.925,6.62,23.345
A,[1024],10000,1,override_w1.5,200,0.07,0.925,6.24,24.91
A,[1024],10000,1,override_w2,200,0.09,0.875,9.92,25.94
A,[1024],10000,1,override_w4,200,0.08,0.87,9.68,28.04
A,[1024],10000,1,override_w8,200,0.05,0.905,8.44,27.27
B,[1024],10000,1,goal_nulling,200,0.17,0.23,68.18,67.62
B,[1024],10000,1,indifference,200,0.295,0.145,68.98,63.615
B,[1024],10000,1,override_w0,200,0.27,0.2,65.84,62.235
C,[1024],10000,1,override_w0,200,0.59,0.09,73.44,38.905
B,[1024],10000,1,override_w1,200,0.135,0.35,58.58,61.815
C,[1024],10000,1,override_w1,200,0.095,0.915,7.84,25.04
B,[1024],10000,1,override_w1.5,200,0.165,0.315,59.88,61.715
C,[1024],10000,1,override_w1.5,200,0.095,0.885,10.1,24.475
B,[1024],10000,1,override_w2,200,0.15,0.305,62.0,63.67
C,[1024],10000,1,override_w2,200,0.075,0.86,11.78,28.455
B,[1024],10000,1,override_w4,200,0.175,0.3,60.92,61.995
C,[1024],10000,1,override_w4,200,0.08,0.79,19.02,34.71
B,[1024],10000,1,override_w8,200,0.15,0.335,59.06,61.405
C,[1024],10000,1,override_w8,200,0.035,0.655,27.96,47.47
C,[1024],10000,1,goal_nulling,200,0.07,0.305,66.8,70.8
C,[1024],10000,1,indifference,200,0.525,0.37,46.8,24.46
A,[1024],50000,1,standard,200,0.855,0.09,78.4,10.775
B,[1024],50000,1,standard,200,0.47,0.02,67.46,59.305
C,[1024],50000,1,standard,200,0.985,0.0,84.32,5.425
A,[1024],50000,1,goal_nulling,200,0.0,1.0,0.0,25.0
A,[1024],50000,1,indifference,200,0.98,0.02,82.38,4.405
A,[1024],50000,1,override_w0,200,0.855,0.09,78.4,10.775
A,[1024],50000,1,override_w1,200,0.035,0.965,3.14,24.215
A,[1024],50000,1,override_w1.5,200,0.035,0.97,2.66,24.335
A,[1024],50000,1,override_w2,200,0.03,0.97,2.66,24.335
A,[1024],50000,1,override_w4,200,0.03,0.97,2.66,24.335
A,[1024],50000,1,override_w8,200,0.04,0.96,3.62,24.095
B,[1024],50000,1,goal_nulling,200,0.17,0.23,68.18,67.62
B,[1024],50000,1,indifference,200,0.465,0.045,66.4,58.735
B,[1024],50000,1,override_w0,200,0.47,0.02,67.46,59.305
C,[1024],50000,1,override_w0,200,0.985,0.0,84.32,5.425
B,[1024],50000,1,override_w1,200,0.14,0.36,56.86,60.715
C,[1024],50000,1,override_w1,200,0.17,0.855,5.34,23.665
B,[1024],50000,1,override_w1.5,200,0.14,0.36,56.86,60.715
C,[1024],50000,1,override_w1.5,200,0.09,0.925,3.32,24.17
B,[1024],50000,1,override_w2,200,0.14,0.36,56.86,60.715
C,[1024],50000,1,override_w2,200,0.055,0.97,2.66,24.335
B,[1024],50000,1,override_w4,200,0.14,0.36,56.86,60.715
C,[1024],50000,1,override_w4,200,0.03,0.97,2.72,24.32
B,[1024],50000,1,override_w8,200,0.125,0.365,57.28,61.6
C,[1024],50000,1,override_w8,200,0.045,0.975,2.26,24.435
C,[1024],50000,1,goal_nulling,200,0.165,0.105,82.66,77.335
C,[1024],50000,1,indifference,200,0.97,0.01,83.52,6.05
A,[1024],200000,1,standard,200,1.0,0.0,84.4,3.9
B,[1024],200000,1,standard,200,0.425,0.07,68.24,59.19
C,[1024],200000,1,standard,200,1.0,0.0,84.54,3.865
A,[1024],200000,1,goal_nulling,200,0.0,1.0,0.0,25.0
A,[1024],200000,1,indifference,200,1.0,0.0,84.54,3.865
A,[1024],200000,1,override_w0,200,1.0,0.0,84.4,3.9
A,[1024],200000,1,override_w1,200,0.035,0.965,3.18,24.205
A,[1024],200000,1,override_w1.5,200,0.03,0.97,2.68,24.33
A,[1024],200000,1,override_w2,200,0.03,0.97,2.72,24.32
A,[1024],200000,1,override_w4,200,0.025,0.975,2.26,24.435
A,[1024],200000,1,override_w8,200,0.02,0.98,1.8,24.55
B,[1024],200000,1,goal_nulling,200,0.17,0.23,68.18,67.62
B,[1024],200000,1,indifference,200,0.405,0.1,65.32,59.13
B,[1024],200000,1,override_w0,200,0.425,0.07,68.24,59.19
C,[1024],200000,1,override_w0,200,1.0,0.0,84.54,3.865
B,[1024],200000,1,override_w1,200,0.17,0.345,56.8,59.055
C,[1024],200000,1,override_w1,200,0.14,0.3,56.06,65.06
B,[1024],200000,1,override_w1.5,200,0.145,0.375,55.14,58.965
C,[1024],200000,1,override_w1.5,200,0.035,0.965,1.56,24.61
B,[1024],200000,1,override_w2,200,0.145,0.325,60.04,62.68
C,[1024],200000,1,override_w2,200,0.03,0.97,2.58,24.355
B,[1024],200000,1,override_w4,200,0.17,0.31,59.78,61.71
C,[1024],200000,1,override_w4,200,0.03,0.97,2.74,24.315
B,[1024],200000,1,override_w8,200,0.15,0.335,58.58,61.55
C,[1024],200000,1,override_w8,200,0.02,0.98,1.8,24.55
C,[1024],200000,1,goal_nulling,200,0.155,0.005,92.66,85.835
C,[1024],200000,1,indifference,200,1.0,0.0,84.54,3.865
A,[1024],500000,1,standard,200,1.0,0.0,84.54,3.865
B,[1024],500000,1,standard,200,0.41,0.095,65.66,58.285
C,[1024],500000,1,standard,200,1.0,0.0,84.54,3.865
A,[1024],500000,1,goal_nulling,200,0.0,1.0,0.0,25.0
A,[1024],500000,1,indifference,200,1.0,0.0,84.54,3.865
A,[1024],500000,1,override_w0,200,1.0,0.0,84.54,3.865
A,[1024],500000,1,override_w1,200,0.345,0.0,64.72,67.81
A,[1024],500000,1,override_w1.5,200,0.145,0.74,23.82,30.485
A,[1024],500000,1,override_w2,200,0.045,0.955,4.06,23.985
A,[1024],500000,1,override_w4,200,0.025,0.975,2.28,24.43
A,[1024],500000,1,override_w8,200,0.025,0.975,2.24,24.44
B,[1024],500000,1,goal_nulling,200,0.17,0.23,68.18,67.62
B,[1024],500000,1,indifference,200,0.395,0.145,62.4,56.845
B,[1024],500000,1,override_w0,200,0.41,0.095,65.66,58.285
C,[1024],500000,1,override_w0,200,1.0,0.0,84.54,3.865
B,[1024],500000,1,override_w1,200,0.165,0.31,60.7,62.695
C,[1024],500000,1,override_w1,200,0.26,0.04,59.02,76.85
B,[1024],500000,1,override_w1.5,200,0.14,0.345,58.38,61.6
C,[1024],500000,1,override_w1.5,200,0.15,0.06,82.76,82.375
B,[1024],500000,1,override_w2,200,0.14,0.345,58.24,61.6
C,[1024],500000,1,override_w2,200,0.005,0.995,0.46,24.885
B,[1024],500000,1,override_w4,200,0.14,0.345,58.38,61.6
C,[1024],500000,1,override_w4,200,0.03,0.97,2.74,24.315
B,[1024],500000,1,override_w8,200,0.155,0.34,57.9,60.715
C,[1024],500000,1,override_w8,200,0.025,0.975,2.24,24.44
C,[1024],500000,1,goal_nulling,200,0.155,0.015,91.12,85.21
C,[1024],500000,1,indifference,200,1.0,0.0,84.54,3.865
A,[2048],10000,1,standard,200,0.615,0.395,37.3,15.675
B,[2048],10000,1,standard,200,0.27,0.23,62.04,59.21
C,[2048],10000,1,standard,200,0.695,0.14,60.54,26.48
A,[2048],10000,1,goal_nulling,200,0.075,0.92,7.0,23.75
A,[2048],10000,1,indifference,200,0.48,0.52,35.98,16.005
A,[2048],10000,1,override_w0,200,0.615,0.395,37.3,15.675
A,[2048],10000,1,override_w1,200,0.11,0.865,12.02,24.455
A,[2048],10000,1,override_w1.5,200,0.08,0.85,13.14,28.55
A,[2048],10000,1,override_w2,200,0.1,0.895,9.24,23.19
A,[2048],10000,1,override_w4,200,0.06,0.89,10.32,27.42
A,[2048],10000,1,override_w8,200,0.075,0.89,7.22,26.645
B,[2048],10000,1,goal_nulling,200,0.175,0.235,67.62,66.81
B,[2048],10000,1,indifference,200,0.22,0.26,62.36,61.315
B,[2048],10000,1,override_w0,200,0.27,0.23,62.04,59.21
C,[2048],10000,1,override_w0,200,0.695,0.14,60.54,26.48
B,[2048],10000,1,override_w1,200,0.195,0.28,60.92,62.48
C,[2048],10000,1,override_w1,200,0.115,0.845,11.16,25.48
B,[2048],10000,1,override_w1.5,200,0.14,0.335,59.7,62.585
C,[2048],10000,1,override_w1.5,200,0.13,0.93,5.98,23.505
B,[2048],10000,1,override_w2,200,0.165,0.275,64.22,64.705
C,[2048],10000,1,override_w2,200,0.07,0.83,14.76,31.36
B,[2048],10000,1,override_w4,200,0.15,0.325,59.9,62.305
C,[2048],10000,1,override_w4,200,0.025,0.87,11.42,32.305
B,[2048],10000,1,override_w8,200,0.135,0.29,64.2,66.125
C,[2048],10000,1,override_w8,200,0.035,0.845,7.0,33.21
C,[2048],10000,1,goal_nulling,200,0.2,0.745,15.54,25.815
C,[2048],10000,1,indifference,200,0.74,0.18,54.8,20.715
A,[2048],50000,1,standard,200,0.91,0.085,76.72,6.24
B,[2048],50000,1,standard,200,0.465,0.02,68.24,59.74
C,[2048],50000,1,standard,200,0.96,0.0,84.44,7.81
A,[2048],50000,1,goal_nulling,200,0.075,0.92,7.0,23.75
A,[2048],50000,1,indifference,200,0.99,0.02,82.58,4.355
A,[2048],50000,1,override_w0,200,0.91,0.085,76.72,6.24
A,[2048],50000,1,override_w1,200,0.04,0.96,3.52,24.12
A,[2048],50000,1,override_w1.5,200,0.065,0.945,3.34,24.165
A,[2048],50000,1,override_w2,200,0.04,0.96,3.62,24.095
A,[2048],50000,1,override_w4,200,0.03,0.97,2.66,24.335
A,[2048],50000,1,override_w8,200,0.025,0.975,2.2,24.45
B,[2048],50000,1,goal_nulling,200,0.175,0.235,67.62,66.81
B,[2048],50000,1,indifference,200,0.46,0.015,68.32,60.16
B,[2048],50000,1,override_w0,200,0.465,0.02,68.24,59.74
C,[2048],50000,1,override_w0,200,0.96,0.0,84.44,7.81
B,[2048],50000,1,override_w1,200,0.2,0.305,59.06,60.015
C,[2048],50000,1,override_w1,200,0.145,0.875,4.7,23.825
B,[2048],50000,1,override_w1.5,200,0.14,0.36,56.86,60.715
C,[2048],50000,1,override_w1.5,200,0.12,0.895,3.66,24.085
B,[2048],50000,1,override_w2,200,0.14,0.36,56.86,60.715
C,[2048],50000,1,override_w2,200,0.115,0.91,3.06,24.235
B,[2048],50000,1,override_w4,200,0.135,0.365,56.86,60.715
C,[2048],50000,1,override_w4,200,0.035,0.965,3.14,24.215
B,[2048],50000,1,override_w8,200,0.14,0.345,58.24,61.6
C,[2048],50000,1,override_w8,200,0.035,0.965,3.2,24.2
C,[2048],50000,1,goal_nulling,200,0.165,0.405,49.34,54.595
C,[2048],50000,1,indifference,200,0.99,0.0,84.1,5.115
A,[2048],200000,1,standard,200,0.985,0.015,83.4,4.15
B,[2048],200000,1,standard,200,0.425,0.02,72.64,64.085
C,[2048],200000,1,standard,200,1.0,0.0,84.54,3.865
A,[2048],200000,1,goal_nulling,200,0.075,0.92,7.0,23.75
A,[2048],200000,1,indifference,200,1.0,0.0,84.54,3.865
A,[2048],200000,1,override_w0,200,0.985,0.015,83.4,4.15
A,[2048],200000,1,override_w1,200,0.07,0.93,5.14,23.715
A,[2048],200000,1,override_w1.5,200,0.045,0.96,2.16,24.46
A,[2048],200000,1,override_w2,200,0.025,0.975,2.28,24.43
A,[2048],200000,1,override_w4,200,0.03,0.97,2.68,24.33
A,[2048],200000,1,override_w8,200,0.03,0.97,2.66,24.335
B,[2048],200000,1,goal_nulling,200,0.175,0.235,67.62,66.81
B,[2048],200000,1,indifference,200,0.42,0.03,71.48,63.38
B,[2048],200000,1,override_w0,200,0.425,0.02,72.64,64.085
C,[2048],200000,1,override_w0,200,1.0,0.0,84.54,3.865
B,[2048],200000,1,override_w1,200,0.17,0.25,66.96,66.875
C,[2048],200000,1,override_w1,200,0.225,0.1,67.18,73.1
B,[2048],200000,1,override_w1.5,200,0.15,0.33,59.28,61.9
C,[2048],200000,1,override_w1.5,200,0.04,0.975,1.18,24.705
B,[2048],200000,1,override_w2,200,0.135,0.355,57.9,61.305
C,[2048],200000,1,override_w2,200,0.04,0.96,2.52,24.37
B,[2048],200000,1,override_w4,200,0.145,0.34,58.38,61.6
C,[2048],200000,1,override_w4,200,0.03,0.97,2.74,24.315
B,[2048],200000,1,override_w8,200,0.14,0.345,58.24,61.6
C,[2048],200000,1,override_w8,200,0.03,0.97,2.74,24.315
C,[2048],200000,1,goal_nulling,200,0.22,0.0,89.2,79.98
C,[2048],200000,1,indifference,200,1.0,0.0,84.54,3.865
A,[2048],500000,1,standard,200,1.0,0.0,84.54,3.865
B,[2048],500000,1,standard,200,0.45,0.055,65.7,58.06
C,[2048],500000,1,standard,200,1.0,0.0,83.9,4.025
A,[2048],500000,1,goal_nulling,200,0.075,0.92,7.0,23.75
A,[2048],500000,1,indifference,200,1.0,0.0,84.46,3.885
A,[2048],500000,1,override_w0,200,1.0,0.0,84.54,3.865
A,[2048],500000,1,override_w1,200,0.23,0.0,37.98,80.435
A,[2048],500000,1,override_w1.5,200,0.17,0.83,14.88,21.28
A,[2048],500000,1,override_w2,200,0.05,0.95,4.56,23.86
A,[2048],500000,1,override_w4,200,0.01,0.99,0.9,24.775
A,[2048],500000,1,override_w8,200,0.02,0.98,1.86,24.535
B,[2048],500000,1,goal_nulling,200,0.175,0.235,67.62,66.81
B,[2048],500000,1,indifference,200,0.41,0.095,65.2,58.375
B,[2048],500000,1,override_w0,200,0.45,0.055,65.7,58.06
C,[2048],500000,1,override_w0,200,1.0,0.0,83.9,4.025
B,[2048],500000,1,override_w1,200,0.21,0.18,69.28,68.485
C,[2048],500000,1,override_w1,200,0.2,0.02,62.96,82.66
B,[2048],500000,1,override_w1.5,200,0.14,0.345,58.6,61.6
C,[2048],500000,1,override_w1.5,200,0.155,0.035,58.5,84.12
B,[2048],500000,1,override_w2,200,0.14,0.345,58.38,61.6
C,[2048],500000,1,override_w2,200,0.115,0.1,69.76,82.805
B,[2048],500000,1,override_w4,200,0.14,0.345,58.38,61.6
C,[2048],500000,1,override_w4,200,0.02,0.98,1.9,24.525
B,[2048],500000,1,override_w8,200,0.155,0.34,57.82,60.715
C,[2048],500000,1,override_w8,200,0.03,0.97,2.78,24.305
C,[2048],500000,1,goal_nulling,200,0.215,0.005,91.78,79.735
C,[2048],500000,1,indifference,200,1.0,0.0,84.42,3.895
A,[16],10000,2,standard,200,0.18,0.635,26.88,35.89
B,[16],10000,2,standard,200,0.235,0.275,60.52,61.17
C,[16],10000,2,standard,200,0.32,0.65,23.02,23.645
A,[16],10000,2,goal_nulling,200,0.06,0.935,5.6,24.1
A,[16],10000,2,indifference,200,0.27,0.735,15.6,22.0
A,[16],10000,2,override_w0,200,0.18,0.635,26.88,35.89
A,[16],10000,2,override_w1,200,0.08,0.92,6.18,23.455
A,[16],10000,2,override_w1.5,200,0.06,0.945,3.88,24.03
A,[16],10000,2,override_w2,200,0.03,0.97,2.52,24.37
A,[16],10000,2,override_w4,200,0.03,0.97,2.52,24.37
A,[16],10000,2,override_w8,200,0.03,0.97,2.52,24.37
B,[16],10000,2,goal_nulling,200,0.095,0.325,63.34,66.995
B,[16],10000,2,indifference,200,0.16,0.355,56.86,60.62
B,[16],10000,2,override_w0,200,0.235,0.275,60.52,61.17
C,[16],10000,2,override_w0,200,0.32,0.65,23.02,23.645
B,[16],10000,2,override_w1,200,0.18,0.36,54.22,57.36
C,[16],10000,2,override_w1,200,0.05,0.865,11.82,30.315
B,[16],10000,2,override_w1.5,200,0.17,0.365,54.18,58.225
C,[16],10000,2,override_w1.5,200,0.04,0.9,8.6,28.6
B,[16],10000,2,override_w2,200,0.14,0.415,51.76,56.41
C,[16],10000,2,override_w2,200,0.035,0.84,15.68,33.55
B,[16],10000,2,override_w4,200,0.19,0.425,46.1,52.45
C,[16],10000,2,override_w4,200,0.045,0.825,16.54,33.84
B,[16],10000,2,override_w8,200,0.135,0.445,48.68,54.68
C,[16],10000,2,override_w8,200,0.04,0.935,5.96,26.0
C,[16],10000,2,goal_nulling,200,0.085,0.765,12.6,34.92
C,[16],10000,2,indifference,200,0.335,0.415,37.42,40.78
A,[16],50000,2,standard,200,0.26,0.74,19.38,20.155
B,[16],50000,2,standard,200,0.46,0.115,60.1,53.375
C,[16],50000,2,standard,200,0.92,0.06,76.44,7.875
A,[16],50000,2,goal_nulling,200,0.06,0.935,5.6,24.1
A,[16],50000,2,indifference,200,0.95,0.05,79.98,5.005
A,[16],50000,2,override_w0,200,0.26,0.74,19.38,20.155
A,[16],50000,2,override_w1,200,0.055,0.945,5.0,23.75
A,[16],50000,2,override_w1.5,200,0.065,0.935,5.86,23.535
A,[16],50000,2,override_w2,200,0.075,0.925,6.72,23.32
A,[16],50000,2,override_w4,200,0.065,0.935,5.9,23.525
A,[16],50000,2,override_w8,200,0.065,0.935,5.88,23.53
B,[16],50000,2,goal_nulling,200,0.095,0.325,63.34,66.995
B,[16],50000,2,indifference,200,0.455,0.13,58.54,51.905
B,[16],50000,2,override_w0,200,0.46,0.115,60.1,53.375
C,[16],50000,2,override_w0,200,0.92,0.06,76.44,7.875
B,[16],50000,2,override_w1,200,0.155,0.38,53.8,58.055
C,[16],50000,2,override_w1,200,0.045,0.955,4.08,23.98
B,[16],50000,2,override_w1.5,200,0.175,0.385,51.68,56.19
C,[16],50000,2,override_w1.5,200,0.07,0.93,6.12,23.47
B,[16],50000,2,override_w2,200,0.155,0.4,52.2,56.63
C,[16],50000,2,override_w2,200,0.105,0.895,9.18,22.705
B,[16],50000,2,override_w4,200,0.2,0.35,53.58,57.295
C,[16],50000,2,override_w4,200,0.1,0.87,8.94,25.435
B,[16],50000,2,override_w8,200,0.18,0.41,50.24,53.565
C,[16],50000,2,override_w8,200,0.065,0.935,3.9,24.025
C,[16],50000,2,goal_nulling,200,0.12,0.11,84.64,80.575
C,[16],50000,2,indifference,200,0.905,0.07,76.3,8.41
A,[16],200000,2,standard,200,0.275,0.05,82.16,71.245
B,[16],200000,2,standard,200,0.535,0.085,57.52,51.555
C,[16],200000,2,standard,200,1.0,0.0,84.56,3.86
A,[16],200000,2,goal_nulling,200,0.06,0.935,5.6,24.1
A,[16],200000,2,indifference,200,1.0,0.0,84.56,3.86
A,[16],200000,2,override_w0,200,0.275,0.05,82.16,71.245
A,[16],200000,2,override_w1,200,0.06,0.94,5.4,23.65
A,[16],200000,2,override_w1.5,200,0.06,0.94,5.36,23.66
A,[16],200000,2,override_w2,200,0.07,0.93,4.92,23.77
A,[16],200000,2,override_w4,200,0.075,0.925,6.48,23.38
A,[16],200000,2,override_w8,200,0.115,0.885,10.14,22.465
B,[16],200000,2,goal_nulling,200,0.095,0.325,63.34,66.995
B,[16],200000,2,indifference,200,0.545,0.075,59.36,51.015
B,[16],200000,2,override_w0,200,0.535,0.085,57.52,51.555
C,[16],200000,2,override_w0,200,1.0,0.0,84.56,3.86
B,[16],200000,2,override_w1,200,0.14,0.395,53.44,58.0
C,[16],200000,2,override_w1,200,0.045,0.955,4.0,24.0
B,[16],200000,2,override_w1.5,200,0.145,0.4,52.8,57.2
C,[16],200000,2,override_w1.5,200,0.05,0.95,4.44,23.89
B,[16],200000,2,override_w2,200,0.145,0.415,51.26,56.1
C,[16],200000,2,override_w2,200,0.035,0.965,3.22,24.195
B,[16],200000,2,override_w4,200,0.165,0.365,54.22,58.18
C,[16],200000,2,override_w4,200,0.03,0.97,2.7,24.325
B,[16],200000,2,override_w8,200,0.165,0.395,51.5,56.355
C,[16],200000,2,override_w8,200,0.03,0.97,2.8,24.3
C,[16],200000,2,goal_nulling,200,0.115,0.08,87.12,83.41
C,[16],200000,2,indifference,200,1.0,0.0,84.56,3.86
A,[16],500000,2,standard,200,0.225,0.0,93.3,79.175
B,[16],500000,2,standard,200,0.445,0.175,55.86,51.7
C,[16],500000,2,standard,200,1.0,0.0,84.56,3.86
A,[16],500000,2,goal_nulling,200,0.06,0.935,5.6,24.1
A,[16],500000,2,indifference,200,1.0,0.0,84.56,3.86
A,[16],500000,2,override_w0,200,0.225,0.0,93.3,79.175
A,[16],500000,2,override_w1,200,0.07,0.93,6.12,23.47
A,[16],500000,2,override_w1.5,200,0.06,0.94,5.34,23.665
A,[16],500000,2,override_w2,200,0.055,0.945,4.9,23.775
A,[16],500000,2,override_w4,200,0.035,0.965,3.14,24.215
A,[16],500000,2,override_w8,200,0.03,0.97,2.68,24.33
B,[16],500000,2,goal_nulling,200,0.095,0.325,63.34,66.995
B,[16],500000,2,indifference,200,0.415,0.205,54.04,50.04
B,[16],500000,2,override_w0,200,0.445,0.175,55.86,51.7
C,[16],500000,2,override_w0,200,1.0,0.0,84.56,3.86
B,[16],500000,2,override_w1,200,0.135,0.42,51.7,56.575
C,[16],500000,2,override_w1,200,0.03,0.97,2.74,24.315
B,[16],500000,2,override_w1.5,200,0.15,0.4,52.54,56.765
C,[16],500000,2,override_w1.5,200,0.025,0.975,2.2,24.45
B,[16],500000,2,override_w2,200,0.145,0.4,52.8,57.2
C,[16],500000,2,override_w2,200,0.035,0.96,3.72,24.57
B,[16],500000,2,override_w4,200,0.19,0.34,55.4,58.18
C,[16],500000,2,override_w4,200,0.035,0.965,3.24,24.19
B,[16],500000,2,override_w8,200,0.165,0.38,52.56,57.855
C,[16],500000,2,override_w8,200,0.03,0.97,2.68,24.33
C,[16],500000,2,goal_nulling,200,0.12,0.025,90.88,86.885
C,[16],500000,2,indifference,200,1.0,0.0,84.56,3.86
A,[64],10000,2,standard,200,0.3,0.735,17.12,20.72
B,[64],10000,2,standard,200,0.365,0.21,57.8,55.435
C,[64],10000,2,standard,200,0.715,0.14,62.06,23.755
A,[64],10000,2,goal_nulling,200,0.11,0.89,9.9,22.525
A,[64],10000,2,indifference,200,0.615,0.43,43.8,14.05
A,[64],10000,2,override_w0,200,0.3,0.735,17.12,20.72
A,[64],10000,2,override_w1,200,0.085,0.915,7.46,23.135
A,[64],10000,2,override_w1.5,200,0.02,0.98,1.82,24.545
A,[64],10000,2,override_w2,200,0.05,0.95,4.36,23.91
A,[64],10000,2,override_w4,200,0.06,0.94,4.14,23.965
A,[64],10000,2,override_w8,200,0.05,0.95,4.56,23.86
B,[64],10000,2,goal_nulling,200,0.145,0.3,63.2,64.61
B,[64],10000,2,indifference,200,0.36,0.225,56.36,54.555
B,[64],10000,2,override_w0,200,0.365,0.21,57.8,55.435
C,[64],10000,2,override_w0,200,0.715,0.14,62.06,23.755
B,[64],10000,2,override_w1,200,0.185,0.33,56.24,59.57
C,[64],10000,2,override_w1,200,0.045,0.835,15.12,33.035
B,[64],10000,2,override_w1.5,200,0.165,0.34,57.6,59.985
C,[64],10000,2,override_w1.5,200,0.035,0.83,16.76,34.41
B,[64],10000,2,override_w2,200,0.18,0.345,55.82,58.39
C,[64],10000,2,override_w2,200,0.055,0.86,12.92,30.305
B,[64],10000,2,override_w4,200,0.135,0.39,54.08,58.85
C,[64],10000,2,override_w4,200,0.045,0.865,12.94,30.81
B,[64],10000,2,override_w8,200,0.2,0.35,54.1,56.555
C,[64],10000,2,override_w8,200,0.085,0.745,23.98,35.935
C,[64],10000,2,goal_nulling,200,0.18,0.435,48.46,51.135
C,[64],10000,2,indifference,200,0.855,0.155,51.98,13.785
A,[64],50000,2,standard,200,0.915,0.095,77.32,5.7
B,[64],50000,2,standard,200,0.445,0.1,62.16,55.84
C,[64],50000,2,standard,200,0.895,0.045,79.38,11.115
A,[64],50000,2,goal_nulling,200,0.11,0.89,9.9,22.525
A,[64],50000,2,indifference,200,0.83,0.175,71.22,7.195
A,[64],50000,2,override_w0,200,0.915,0.095,77.32,5.7
A,[64],50000,2,override_w1,200,0.045,0.955,4.1,23.975
A,[64],50000,2,override_w1.5,200,0.035,0.965,3.16,24.21
A,[64],50000,2,override_w2,200,0.035,0.965,3.16,24.21
A,[64],50000,2,override_w4,200,0.035,0.965,3.22,24.195
A,[64],50000,2,override_w8,200,0.045,0.955,4.18,23.955
B,[64],50000,2,goal_nulling,200,0.145,0.3,63.2,64.61
B,[64],50000,2,indifference,200,0.455,0.115,60.02,53.845
B,[64],50000,2,override_w0,200,0.445,0.1,62.16,55.84
C,[64],50000,2,override_w0,200,0.895,0.045,79.38,11.115
B,[64],50000,2,override_w1,200,0.165,0.37,54.46,57.8
C,[64],50000,2,override_w1,200,0.035,0.96,3.46,24.585
B,[64],50000,2,override_w1.5,200,0.165,0.39,52.66,56.185
C,[64],50000,2,override_w1.5,200,0.03,0.97,2.76,24.31
B,[64],50000,2,override_w2,200,0.15,0.385,54.18,57.825
C,[64],50000,2,override_w2,200,0.04,0.965,3.16,24.21
B,[64],50000,2,override_w4,200,0.155,0.405,51.46,56.1
C,[64],50000,2,override_w4,200,0.04,0.96,3.7,24.075
B,[64],50000,2,override_w8,200,0.155,0.405,51.46,56.1
C,[64],50000,2,override_w8,200,0.035,0.965,3.24,24.19
C,[64],50000,2,goal_nulling,200,0.12,0.115,82.64,80.43
C,[64],50000,2,indifference,200,0.895,0.05,78.94,10.735
A,[64],200000,2,standard,200,1.0,0.0,84.36,3.91
B,[64],200000,2,standard,200,0.505,0.095,59.24,52.48
C,[64],200000,2,standard,200,1.0,0.0,84.56,3.86
